<<<<<<< HEAD
Feature no.,Domain,Industry,Sub-domain,Description,Priority,Mandatory,Open-source providers,Comm. providers
60,Industry-Specific AI Applications,Telecom,Call quality analytics,"Deploy an AI capability for call quality analytics in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Grafana, Hugging Face Transformers, LlamaIndex, OpenCV, scikit-learn","Oracle, UiPath, Cloudflare, Anthropic, Databricks"
61,Industry-Specific AI Applications,Logistics & Transportation,Route optimization,"Deploy an AI capability for route optimization in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"KServe, OpenTelemetry, dbt, PyTorch, scikit-learn","Databricks, Elastic, Confluent, ServiceNow, OpenAI"
62,Industry-Specific AI Applications,Logistics & Transportation,ETA prediction,"Deploy an AI capability for eta prediction in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, OpenTelemetry, Feast, Airflow, dbt","Google Cloud, DataRobot, OpenAI, AWS, Microsoft Azure"
63,Industry-Specific AI Applications,Logistics & Transportation,Warehouse picking optimization,"Deploy an AI capability for warehouse picking optimization in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"MLflow, Airflow, Kubeflow, scikit-learn, Feast","Cohere, NVIDIA, Confluent, OpenAI, Elastic"
64,Industry-Specific AI Applications,Logistics & Transportation,Last-mile delivery optimization,"Deploy an AI capability for last-mile delivery optimization in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"MLflow, ONNX, OpenTelemetry, Qdrant, Hugging Face Transformers","Zendesk, OpenAI, Salesforce, SAP, Palantir"
65,Industry-Specific AI Applications,Logistics & Transportation,Fleet predictive maintenance,"Deploy an AI capability for fleet predictive maintenance in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, spaCy, FAISS, Airflow, PostgreSQL","ServiceNow, AWS, Pinecone, Cloudflare, Microsoft Azure"
66,Industry-Specific AI Applications,Logistics & Transportation,Cargo theft risk analytics,"Deploy an AI capability for cargo theft risk analytics in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Kubeflow, FAISS, Qdrant, spaCy, Grafana","ServiceNow, SAP, Databricks, MongoDB Atlas, Cohere"
67,Industry-Specific AI Applications,Logistics & Transportation,Customs & trade compliance,"Deploy an AI capability for customs & trade compliance in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, dbt, PyTorch, Haystack, Argo Workflows","Google Cloud, Cloudflare, Pinecone, SAP, Elastic"
68,Industry-Specific AI Applications,Logistics & Transportation,Demand forecasting for shipping,"Deploy an AI capability for demand forecasting for shipping in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, Kafka, Haystack, dbt, Trino","IBM watsonx, OpenAI, Twilio, Zendesk, Cohere"
69,Industry-Specific AI Applications,Logistics & Transportation,Document automation (BOL/invoices),"Deploy an AI capability for document automation (bol/invoices) in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"MLflow, Argo Workflows, Haystack, Ray, Prometheus","ServiceNow, Zendesk, Oracle, Cohere, SAP"
70,Industry-Specific AI Applications,Logistics & Transportation,Carbon footprint optimization,"Deploy an AI capability for carbon footprint optimization in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Grafana, Kubeflow, Hugging Face Transformers, dbt, Haystack","NVIDIA, DataRobot, OpenAI, AWS, ServiceNow"
